DBN,school_year,arts_ed_score,arts_ed_score_label,arts_ed_disciplines
01M015,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
01M019,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
01M020,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
01M034,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
01M063,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
01M064,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
01M110,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
01M140,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
01M142,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
01M184,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
01M188,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
01M315,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
01M361,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
01M363,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
01M448,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
01M450,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
01M515,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
01M539,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
01M650,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
01M696,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
01M839,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M001,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M002,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M003,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
02M011,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M033,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M040,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M042,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M047,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M077,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M111,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
02M114,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M116,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M124,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M126,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
02M130,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M135,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M150,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M158,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M167,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M183,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
