DBN,school_year,chronic_absent_count,chronic_absent_rate,chronic_absent_rate_label
01M015,2018-19,47.0,24.48,24.5% of students chronically absent
01M019,2018-19,87.0,32.83,32.8% of students chronically absent
01M020,2018-19,165.0,31.73,31.7% of students chronically absent
01M034,2018-19,158.0,48.02,48.0% of students chronically absent
01M063,2018-19,83.0,33.07,33.1% of students chronically absent
01M064,2018-19,117.0,48.15,48.1% of students chronically absent
01M110,2018-19,95.0,24.3,24.3% of students chronically absent
01M134,2018-19,153.0,48.11,48.1% of students chronically absent
01M140,2018-19,204.0,49.16,49.2% of students chronically absent
01M142,2018-19,147.0,38.58,38.6% of students chronically absent
01M184,2018-19,32.0,4.62,4.6% of students chronically absent
01M188,2018-19,249.0,51.55,51.5% of students chronically absent
01M292,2018-19,62.0,30.39,30.4% of students chronically absent
01M315,2018-19,51.0,14.91,14.9% of students chronically absent
01M332,2018-19,59.0,27.44,27.4% of students chronically absent
01M361,2018-19,91.0,27.33,27.3% of students chronically absent
01M363,2018-19,61.0,19.55,19.6% of students chronically absent
01M364,2018-19,87.0,24.3,24.3% of students chronically absent
01M378,2018-19,114.0,41.16,41.2% of students chronically absent
01M448,2018-19,139.0,27.74,27.7% of students chronically absent
01M450,2018-19,81.0,11.82,11.8% of students chronically absent
01M509,2018-19,75.0,60.0,60.0% of students chronically absent
01M539,2018-19,117.0,6.65,6.7% of students chronically absent
01M696,2018-19,70.0,11.35,11.3% of students chronically absent
01M839,2018-19,48.0,13.26,13.3% of students chronically absent
02M001,2018-19,61.0,19.37,19.4% of students chronically absent
02M002,2018-19,69.0,13.37,13.4% of students chronically absent
02M003,2018-19,154.0,20.56,20.6% of students chronically absent
02M006,2018-19,53.0,7.57,7.6% of students chronically absent
02M011,2018-19,126.0,13.62,13.6% of students chronically absent
02M033,2018-19,198.0,28.09,28.1% of students chronically absent
02M040,2018-19,60.0,8.24,8.2% of students chronically absent
02M041,2018-19,30.0,4.26,4.3% of students chronically absent
02M042,2018-19,44.0,7.42,7.4% of students chronically absent
02M047,2018-19,72.0,35.29,35.3% of students chronically absent
02M051,2018-19,171.0,32.08,32.1% of students chronically absent
02M059,2018-19,50.0,8.05,8.1% of students chronically absent
02M077,2018-19,5.0,1.39,1.4% of students chronically absent
02M089,2018-19,19.0,4.04,4.0% of students chronically absent
02M104,2018-19,105.0,9.13,9.1% of students chronically absent
02M111,2018-19,177.0,37.42,37.4% of students chronically absent
02M114,2018-19,5.0,1.1,1.1% of students chronically absent
02M116,2018-19,96.0,17.94,17.9% of students chronically absent
02M124,2018-19,25.0,3.64,3.6% of students chronically absent
02M126,2018-19,86.0,11.7,11.7% of students chronically absent
02M130,2018-19,28.0,3.21,3.2% of students chronically absent
02M131,2018-19,30.0,7.21,7.2% of students chronically absent
02M135,2018-19,124.0,44.93,44.9% of students chronically absent
02M139,2018-19,221.0,54.03,54.0% of students chronically absent
02M150,2018-19,9.0,4.71,4.7% of students chronically absent
02M151,2018-19,111.0,22.02,22.0% of students chronically absent
02M158,2018-19,78.0,9.5,9.5% of students chronically absent
02M167,2018-19,127.0,9.01,9.0% of students chronically absent
02M177,2018-19,22.0,9.36,9.4% of students chronically absent
02M183,2018-19,39.0,6.74,6.7% of students chronically absent
02M198,2018-19,78.0,15.42,15.4% of students chronically absent
02M212,2018-19,63.0,16.8,16.8% of students chronically absent
02M217,2018-19,93.0,13.94,13.9% of students chronically absent
02M225,2018-19,72.0,22.02,22.0% of students chronically absent
02M234,2018-19,66.0,10.03,10.0% of students chronically absent
02M255,2018-19,11.0,2.78,2.8% of students chronically absent
02M260,2018-19,66.0,9.04,9.0% of students chronically absent
02M267,2018-19,39.0,8.82,8.8% of students chronically absent
02M276,2018-19,79.0,8.98,9.0% of students chronically absent
02M280,2018-19,147.0,34.11,34.1% of students chronically absent
02M281,2018-19,56.0,15.43,15.4% of students chronically absent
02M282,2018-19,136.0,32.93,32.9% of students chronically absent
