DBN,school_year,ela_number_tested,ela_mean_scale_score,ela_pct_proficient,ela_pct_proficient_label
01M015,2017-18,67.0,610.3,67.16,67.2% ELA proficiency (Levels 3+4)
01M020,2017-18,209.0,595.7,39.71,39.7% ELA proficiency (Levels 3+4)
01M034,2017-18,214.0,592.8,26.64,26.6% ELA proficiency (Levels 3+4)
01M063,2017-18,64.0,606.9,57.81,57.8% ELA proficiency (Levels 3+4)
01M064,2017-18,86.0,595.8,32.56,32.6% ELA proficiency (Levels 3+4)
01M110,2017-18,171.0,613.2,74.27,74.3% ELA proficiency (Levels 3+4)
01M134,2017-18,143.0,592.4,30.77,30.8% ELA proficiency (Levels 3+4)
01M140,2017-18,227.0,593.7,25.55,25.6% ELA proficiency (Levels 3+4)
01M142,2017-18,99.0,596.2,38.38,38.4% ELA proficiency (Levels 3+4)
01M184,2017-18,420.0,611.8,72.38,72.4% ELA proficiency (Levels 3+4)
01M188,2017-18,264.0,598.7,38.64,38.6% ELA proficiency (Levels 3+4)
01M315,2017-18,107.0,609.7,65.42,65.4% ELA proficiency (Levels 3+4)
01M332,2017-18,166.0,592.3,25.9,25.9% ELA proficiency (Levels 3+4)
01M361,2017-18,89.0,608.4,67.42,67.4% ELA proficiency (Levels 3+4)
01M363,2017-18,32.0,605.3,46.88,46.9% ELA proficiency (Levels 3+4)
01M364,2017-18,37.0,599.8,37.84,37.8% ELA proficiency (Levels 3+4)
01M378,2017-18,206.0,594.3,27.67,27.7% ELA proficiency (Levels 3+4)
01M450,2017-18,230.0,603.4,52.17,52.2% ELA proficiency (Levels 3+4)
01M539,2017-18,729.0,630.2,97.26,97.3% ELA proficiency (Levels 3+4)
01M839,2017-18,270.0,605.9,57.04,57.0% ELA proficiency (Levels 3+4)
02M001,2017-18,142.0,604.2,53.52,53.5% ELA proficiency (Levels 3+4)
02M002,2017-18,260.0,608.7,62.31,62.3% ELA proficiency (Levels 3+4)
02M003,2017-18,288.0,613.6,73.26,73.3% ELA proficiency (Levels 3+4)
02M006,2017-18,300.0,622.7,91.0,91.0% ELA proficiency (Levels 3+4)
02M011,2017-18,451.0,613.8,72.06,72.1% ELA proficiency (Levels 3+4)
02M033,2017-18,303.0,613.1,67.33,67.3% ELA proficiency (Levels 3+4)
02M040,2017-18,278.0,624.9,89.21,89.2% ELA proficiency (Levels 3+4)
02M041,2017-18,312.0,622.0,85.58,85.6% ELA proficiency (Levels 3+4)
02M042,2017-18,287.0,608.6,61.32,61.3% ELA proficiency (Levels 3+4)
02M051,2017-18,161.0,602.2,47.2,47.2% ELA proficiency (Levels 3+4)
02M059,2017-18,241.0,619.9,82.16,82.2% ELA proficiency (Levels 3+4)
02M077,2017-18,184.0,630.4,100.0,100.0% ELA proficiency (Levels 3+4)
02M089,2017-18,171.0,619.2,87.72,87.7% ELA proficiency (Levels 3+4)
02M104,2017-18,1053.0,612.7,73.5,73.5% ELA proficiency (Levels 3+4)
02M111,2017-18,156.0,601.8,44.87,44.9% ELA proficiency (Levels 3+4)
02M114,2017-18,439.0,625.8,95.67,95.7% ELA proficiency (Levels 3+4)
02M116,2017-18,227.0,609.1,65.64,65.6% ELA proficiency (Levels 3+4)
02M124,2017-18,319.0,618.5,80.88,80.9% ELA proficiency (Levels 3+4)
02M126,2017-18,534.0,609.2,66.1,66.1% ELA proficiency (Levels 3+4)
02M130,2017-18,475.0,618.3,82.32,82.3% ELA proficiency (Levels 3+4)
02M131,2017-18,375.0,596.6,42.93,42.9% ELA proficiency (Levels 3+4)
02M150,2017-18,74.0,624.2,94.59,94.6% ELA proficiency (Levels 3+4)
02M151,2017-18,222.0,610.5,65.32,65.3% ELA proficiency (Levels 3+4)
02M158,2017-18,319.0,620.1,83.7,83.7% ELA proficiency (Levels 3+4)
02M167,2017-18,1273.0,615.2,80.05,80.0% ELA proficiency (Levels 3+4)
02M177,2017-18,222.0,611.1,72.97,73.0% ELA proficiency (Levels 3+4)
02M183,2017-18,233.0,620.7,87.12,87.1% ELA proficiency (Levels 3+4)
02M198,2017-18,167.0,618.2,77.84,77.8% ELA proficiency (Levels 3+4)
02M212,2017-18,154.0,616.8,76.62,76.6% ELA proficiency (Levels 3+4)
02M217,2017-18,286.0,613.1,72.03,72.0% ELA proficiency (Levels 3+4)
02M225,2017-18,62.0,,,Data suppressed
02M234,2017-18,306.0,617.0,85.29,85.3% ELA proficiency (Levels 3+4)
02M255,2017-18,379.0,622.2,93.67,93.7% ELA proficiency (Levels 3+4)
02M260,2017-18,278.0,621.4,89.21,89.2% ELA proficiency (Levels 3+4)
02M267,2017-18,155.0,619.5,88.39,88.4% ELA proficiency (Levels 3+4)
02M276,2017-18,540.0,615.4,78.89,78.9% ELA proficiency (Levels 3+4)
02M281,2017-18,48.0,616.9,75.0,75.0% ELA proficiency (Levels 3+4)
02M289,2017-18,262.0,612.2,75.19,75.2% ELA proficiency (Levels 3+4)
02M290,2017-18,258.0,622.6,91.09,91.1% ELA proficiency (Levels 3+4)
02M297,2017-18,185.0,606.1,64.86,64.9% ELA proficiency (Levels 3+4)
02M312,2017-18,538.0,621.3,90.52,90.5% ELA proficiency (Levels 3+4)
02M340,2017-18,37.0,611.6,72.97,73.0% ELA proficiency (Levels 3+4)
02M343,2017-18,153.0,611.4,69.93,69.9% ELA proficiency (Levels 3+4)
02M347,2017-18,41.0,607.2,53.66,53.7% ELA proficiency (Levels 3+4)
02M397,2017-18,309.0,616.2,80.58,80.6% ELA proficiency (Levels 3+4)
02M407,2017-18,24.0,,,Data suppressed
02M408,2017-18,79.0,617.6,82.28,82.3% ELA proficiency (Levels 3+4)
02M413,2017-18,267.0,610.5,68.16,68.2% ELA proficiency (Levels 3+4)
02M422,2017-18,179.0,600.5,44.13,44.1% ELA proficiency (Levels 3+4)
02M442,2017-18,136.0,617.2,82.35,82.3% ELA proficiency (Levels 3+4)
02M527,2017-18,149.0,619.8,87.92,87.9% ELA proficiency (Levels 3+4)
02M896,2017-18,344.0,608.8,69.48,69.5% ELA proficiency (Levels 3+4)
03M009,2017-18,274.0,617.4,81.02,81.0% ELA proficiency (Levels 3+4)
03M054,2017-18,818.0,622.3,90.95,91.0% ELA proficiency (Levels 3+4)
03M075,2017-18,244.0,600.6,49.18,49.2% ELA proficiency (Levels 3+4)
03M076,2017-18,252.0,590.6,23.81,23.8% ELA proficiency (Levels 3+4)
03M084,2017-18,239.0,610.4,67.36,67.4% ELA proficiency (Levels 3+4)
03M087,2017-18,395.0,618.3,82.78,82.8% ELA proficiency (Levels 3+4)
03M145,2017-18,136.0,587.8,22.06,22.1% ELA proficiency (Levels 3+4)
03M149,2017-18,136.0,589.4,20.59,20.6% ELA proficiency (Levels 3+4)
03M163,2017-18,265.0,608.7,62.26,62.3% ELA proficiency (Levels 3+4)
03M165,2017-18,327.0,598.5,43.12,43.1% ELA proficiency (Levels 3+4)
03M166,2017-18,266.0,622.6,86.84,86.8% ELA proficiency (Levels 3+4)
03M180,2017-18,275.0,597.2,36.73,36.7% ELA proficiency (Levels 3+4)
03M191,2017-18,247.0,593.0,34.01,34.0% ELA proficiency (Levels 3+4)
03M199,2017-18,430.0,622.3,85.35,85.3% ELA proficiency (Levels 3+4)
03M241,2017-18,63.0,594.5,26.98,27.0% ELA proficiency (Levels 3+4)
03M242,2017-18,69.0,596.0,30.43,30.4% ELA proficiency (Levels 3+4)
03M243,2017-18,218.0,623.1,94.5,94.5% ELA proficiency (Levels 3+4)
03M245,2017-18,362.0,615.7,84.81,84.8% ELA proficiency (Levels 3+4)
03M247,2017-18,168.0,601.9,53.57,53.6% ELA proficiency (Levels 3+4)
03M256,2017-18,119.0,602.0,52.1,52.1% ELA proficiency (Levels 3+4)
03M258,2017-18,183.0,602.1,43.72,43.7% ELA proficiency (Levels 3+4)
03M291,2017-18,310.0,615.3,83.55,83.5% ELA proficiency (Levels 3+4)
03M333,2017-18,414.0,613.9,76.33,76.3% ELA proficiency (Levels 3+4)
03M334,2017-18,347.0,629.5,97.41,97.4% ELA proficiency (Levels 3+4)
03M415,2017-18,57.0,595.5,29.82,29.8% ELA proficiency (Levels 3+4)
03M421,2017-18,169.0,601.8,47.34,47.3% ELA proficiency (Levels 3+4)
03M452,2017-18,115.0,620.5,80.87,80.9% ELA proficiency (Levels 3+4)
03M610,2017-18,134.0,608.8,68.66,68.7% ELA proficiency (Levels 3+4)
03M859,2017-18,79.0,631.7,98.73,98.7% ELA proficiency (Levels 3+4)
03M860,2017-18,34.0,594.6,29.41,29.4% ELA proficiency (Levels 3+4)
03M862,2017-18,302.0,611.0,67.88,67.9% ELA proficiency (Levels 3+4)
04M007,2017-18,207.0,597.5,39.13,39.1% ELA proficiency (Levels 3+4)
04M012,2017-18,400.0,629.7,96.25,96.2% ELA proficiency (Levels 3+4)
04M037,2017-18,76.0,605.1,59.21,59.2% ELA proficiency (Levels 3+4)
04M038,2017-18,89.0,584.1,14.61,14.6% ELA proficiency (Levels 3+4)
04M057,2017-18,504.0,594.2,31.35,31.4% ELA proficiency (Levels 3+4)
04M072,2017-18,375.0,593.9,27.73,27.7% ELA proficiency (Levels 3+4)
04M083,2017-18,212.0,601.4,49.06,49.1% ELA proficiency (Levels 3+4)
04M096,2017-18,247.0,588.5,15.79,15.8% ELA proficiency (Levels 3+4)
04M102,2017-18,139.0,598.2,38.85,38.9% ELA proficiency (Levels 3+4)
04M108,2017-18,305.0,592.8,27.87,27.9% ELA proficiency (Levels 3+4)
04M146,2017-18,123.0,594.2,30.89,30.9% ELA proficiency (Levels 3+4)
04M155,2017-18,124.0,587.6,20.16,20.2% ELA proficiency (Levels 3+4)
04M171,2017-18,438.0,612.0,71.92,71.9% ELA proficiency (Levels 3+4)
04M182,2017-18,145.0,599.5,39.31,39.3% ELA proficiency (Levels 3+4)
04M206,2017-18,395.0,592.0,27.34,27.3% ELA proficiency (Levels 3+4)
04M224,2017-18,150.0,604.7,55.33,55.3% ELA proficiency (Levels 3+4)
04M372,2017-18,167.0,588.8,17.37,17.4% ELA proficiency (Levels 3+4)
04M375,2017-18,122.0,595.2,32.79,32.8% ELA proficiency (Levels 3+4)
04M377,2017-18,127.0,597.3,32.28,32.3% ELA proficiency (Levels 3+4)
04M497,2017-18,24.0,601.8,50.0,50.0% ELA proficiency (Levels 3+4)
