DBN,school_year,family_q36_pct_satisfied,family_q36_pct_satisfied_label
01M015,2020-21,99.0,99.0% of families satisfied with their child's education
01M019,2020-21,97.0,97.0% of families satisfied with their child's education
01M020,2020-21,89.0,89.0% of families satisfied with their child's education
01M034,2020-21,96.0,96.0% of families satisfied with their child's education
01M063,2020-21,89.0,89.0% of families satisfied with their child's education
01M064,2020-21,100.0,100.0% of families satisfied with their child's education
01M110,2020-21,92.0,92.0% of families satisfied with their child's education
01M134,2020-21,100.0,100.0% of families satisfied with their child's education
01M140,2020-21,96.0,96.0% of families satisfied with their child's education
01M142,2020-21,97.0,97.0% of families satisfied with their child's education
01M184,2020-21,95.0,95.0% of families satisfied with their child's education
01M188,2020-21,100.0,100.0% of families satisfied with their child's education
01M292,2020-21,90.0,90.0% of families satisfied with their child's education
01M315,2020-21,92.0,92.0% of families satisfied with their child's education
01M332,2020-21,88.0,88.0% of families satisfied with their child's education
01M361,2020-21,98.0,98.0% of families satisfied with their child's education
01M363,2020-21,82.0,82.0% of families satisfied with their child's education
01M364,2020-21,84.0,84.0% of families satisfied with their child's education
01M378,2020-21,75.0,75.0% of families satisfied with their child's education
01M448,2020-21,96.0,96.0% of families satisfied with their child's education
01M450,2020-21,94.0,94.0% of families satisfied with their child's education
01M515,2020-21,87.0,87.0% of families satisfied with their child's education
01M539,2020-21,88.0,88.0% of families satisfied with their child's education
01M650,2020-21,100.0,100.0% of families satisfied with their child's education
01M696,2020-21,96.0,96.0% of families satisfied with their child's education
01M839,2020-21,94.0,94.0% of families satisfied with their child's education
02M001,2020-21,95.0,95.0% of families satisfied with their child's education
02M002,2020-21,97.0,97.0% of families satisfied with their child's education
02M003,2020-21,88.0,88.0% of families satisfied with their child's education
02M006,2020-21,80.0,80.0% of families satisfied with their child's education
02M011,2020-21,85.0,85.0% of families satisfied with their child's education
02M033,2020-21,81.0,81.0% of families satisfied with their child's education
02M040,2020-21,87.0,87.0% of families satisfied with their child's education
02M041,2020-21,88.0,88.0% of families satisfied with their child's education
02M042,2020-21,98.0,98.0% of families satisfied with their child's education
02M047,2020-21,95.0,95.0% of families satisfied with their child's education
02M051,2020-21,91.0,91.0% of families satisfied with their child's education
02M059,2020-21,88.0,88.0% of families satisfied with their child's education
02M077,2020-21,86.0,86.0% of families satisfied with their child's education
02M089,2020-21,85.0,85.0% of families satisfied with their child's education
02M104,2020-21,89.0,89.0% of families satisfied with their child's education
02M111,2020-21,93.0,93.0% of families satisfied with their child's education
02M114,2020-21,94.0,94.0% of families satisfied with their child's education
02M116,2020-21,79.0,79.0% of families satisfied with their child's education
02M124,2020-21,90.0,90.0% of families satisfied with their child's education
02M126,2020-21,93.0,93.0% of families satisfied with their child's education
02M130,2020-21,88.0,88.0% of families satisfied with their child's education
02M131,2020-21,91.0,91.0% of families satisfied with their child's education
02M135,2020-21,95.0,95.0% of families satisfied with their child's education
02M139,2020-21,94.0,94.0% of families satisfied with their child's education
02M150,2020-21,88.0,88.0% of families satisfied with their child's education
02M151,2020-21,87.0,87.0% of families satisfied with their child's education
02M158,2020-21,92.0,92.0% of families satisfied with their child's education
02M167,2020-21,64.0,64.0% of families satisfied with their child's education
02M177,2020-21,84.0,84.0% of families satisfied with their child's education
02M183,2020-21,96.0,96.0% of families satisfied with their child's education
02M198,2020-21,87.0,87.0% of families satisfied with their child's education
02M212,2020-21,84.0,84.0% of families satisfied with their child's education
02M217,2020-21,84.0,84.0% of families satisfied with their child's education
02M225,2020-21,96.0,96.0% of families satisfied with their child's education
02M234,2020-21,92.0,92.0% of families satisfied with their child's education
02M255,2020-21,90.0,90.0% of families satisfied with their child's education
02M260,2020-21,81.0,81.0% of families satisfied with their child's education
02M267,2020-21,68.0,68.0% of families satisfied with their child's education
02M276,2020-21,82.0,82.0% of families satisfied with their child's education
02M280,2020-21,79.0,79.0% of families satisfied with their child's education
02M281,2020-21,93.0,93.0% of families satisfied with their child's education
02M282,2020-21,90.0,90.0% of families satisfied with their child's education
02M288,2020-21,86.0,86.0% of families satisfied with their child's education
02M289,2020-21,83.0,83.0% of families satisfied with their child's education
02M290,2020-21,90.0,90.0% of families satisfied with their child's education
02M294,2020-21,97.0,97.0% of families satisfied with their child's education
02M296,2020-21,89.0,89.0% of families satisfied with their child's education
02M297,2020-21,74.0,74.0% of families satisfied with their child's education
02M298,2020-21,85.0,85.0% of families satisfied with their child's education
02M300,2020-21,95.0,95.0% of families satisfied with their child's education
02M303,2020-21,89.0,89.0% of families satisfied with their child's education
02M305,2020-21,80.0,80.0% of families satisfied with their child's education
02M308,2020-21,43.0,43.0% of families satisfied with their child's education
02M312,2020-21,85.0,85.0% of families satisfied with their child's education
02M313,2020-21,100.0,100.0% of families satisfied with their child's education
02M316,2020-21,83.0,83.0% of families satisfied with their child's education
02M340,2020-21,81.0,81.0% of families satisfied with their child's education
02M343,2020-21,92.0,92.0% of families satisfied with their child's education
02M347,2020-21,94.0,94.0% of families satisfied with their child's education
02M374,2020-21,84.0,84.0% of families satisfied with their child's education
02M376,2020-21,90.0,90.0% of families satisfied with their child's education
02M392,2020-21,100.0,100.0% of families satisfied with their child's education
02M393,2020-21,95.0,95.0% of families satisfied with their child's education
02M394,2020-21,99.0,99.0% of families satisfied with their child's education
02M397,2020-21,81.0,81.0% of families satisfied with their child's education
02M399,2020-21,56.0,56.0% of families satisfied with their child's education
02M400,2020-21,87.0,87.0% of families satisfied with their child's education
02M407,2020-21,76.0,76.0% of families satisfied with their child's education
02M408,2020-21,75.0,75.0% of families satisfied with their child's education
02M411,2020-21,79.0,79.0% of families satisfied with their child's education
02M412,2020-21,90.0,90.0% of families satisfied with their child's education
02M413,2020-21,86.0,86.0% of families satisfied with their child's education
02M414,2020-21,84.0,84.0% of families satisfied with their child's education
02M416,2020-21,79.0,79.0% of families satisfied with their child's education
02M418,2020-21,84.0,84.0% of families satisfied with their child's education
02M419,2020-21,100.0,100.0% of families satisfied with their child's education
02M420,2020-21,84.0,84.0% of families satisfied with their child's education
02M422,2020-21,81.0,81.0% of families satisfied with their child's education
02M425,2020-21,82.0,82.0% of families satisfied with their child's education
02M427,2020-21,94.0,94.0% of families satisfied with their child's education
02M432,2020-21,100.0,100.0% of families satisfied with their child's education
02M437,2020-21,85.0,85.0% of families satisfied with their child's education
02M438,2020-21,87.0,87.0% of families satisfied with their child's education
02M439,2020-21,95.0,95.0% of families satisfied with their child's education
02M442,2020-21,95.0,95.0% of families satisfied with their child's education
02M449,2020-21,91.0,91.0% of families satisfied with their child's education
02M459,2020-21,93.0,93.0% of families satisfied with their child's education
02M475,2020-21,89.0,89.0% of families satisfied with their child's education
02M489,2020-21,94.0,94.0% of families satisfied with their child's education
02M500,2020-21,100.0,100.0% of families satisfied with their child's education
02M507,2020-21,98.0,98.0% of families satisfied with their child's education
02M519,2020-21,83.0,83.0% of families satisfied with their child's education
02M520,2020-21,91.0,91.0% of families satisfied with their child's education
02M527,2020-21,93.0,93.0% of families satisfied with their child's education
02M529,2020-21,91.0,91.0% of families satisfied with their child's education
02M531,2020-21,85.0,85.0% of families satisfied with their child's education
02M533,2020-21,98.0,98.0% of families satisfied with their child's education
02M534,2020-21,93.0,93.0% of families satisfied with their child's education
02M542,2020-21,95.0,95.0% of families satisfied with their child's education
02M543,2020-21,89.0,89.0% of families satisfied with their child's education
02M544,2020-21,,Data not available
02M545,2020-21,88.0,88.0% of families satisfied with their child's education
02M546,2020-21,92.0,92.0% of families satisfied with their child's education
02M550,2020-21,93.0,93.0% of families satisfied with their child's education
02M551,2020-21,77.0,77.0% of families satisfied with their child's education
02M560,2020-21,100.0,100.0% of families satisfied with their child's education
02M565,2020-21,94.0,94.0% of families satisfied with their child's education
02M575,2020-21,,Data not available
02M580,2020-21,100.0,100.0% of families satisfied with their child's education
02M586,2020-21,,Data not available
02M600,2020-21,95.0,95.0% of families satisfied with their child's education
02M605,2020-21,83.0,83.0% of families satisfied with their child's education
02M615,2020-21,85.0,85.0% of families satisfied with their child's education
02M630,2020-21,90.0,90.0% of families satisfied with their child's education
02M655,2020-21,93.0,93.0% of families satisfied with their child's education
02M896,2020-21,91.0,91.0% of families satisfied with their child's education
02M933,2020-21,89.0,89.0% of families satisfied with their child's education
03M009,2020-21,92.0,92.0% of families satisfied with their child's education
03M054,2020-21,87.0,87.0% of families satisfied with their child's education
03M075,2020-21,88.0,88.0% of families satisfied with their child's education
03M076,2020-21,96.0,96.0% of families satisfied with their child's education
03M084,2020-21,85.0,85.0% of families satisfied with their child's education
03M087,2020-21,81.0,81.0% of families satisfied with their child's education
03M145,2020-21,90.0,90.0% of families satisfied with their child's education
03M149,2020-21,100.0,100.0% of families satisfied with their child's education
03M163,2020-21,73.0,73.0% of families satisfied with their child's education
03M165,2020-21,91.0,91.0% of families satisfied with their child's education
03M166,2020-21,92.0,92.0% of families satisfied with their child's education
03M180,2020-21,85.0,85.0% of families satisfied with their child's education
03M185,2020-21,97.0,97.0% of families satisfied with their child's education
03M191,2020-21,93.0,93.0% of families satisfied with their child's education
03M199,2020-21,80.0,80.0% of families satisfied with their child's education
03M241,2020-21,96.0,96.0% of families satisfied with their child's education
03M242,2020-21,91.0,91.0% of families satisfied with their child's education
