DBN,cohort_year,school_year,cohort_size,graduation_rate,graduation_rate_label
01M292,2012,2015-16,44.0,54.55,54.5% 4-year graduation rate
01M448,2012,2015-16,66.0,75.76,75.8% 4-year graduation rate
01M450,2012,2015-16,90.0,84.44,84.4% 4-year graduation rate
01M458,2012,2015-16,82.0,15.85,15.8% 4-year graduation rate
01M509,2012,2015-16,74.0,59.46,59.5% 4-year graduation rate
01M515,2012,2015-16,248.0,36.69,36.7% 4-year graduation rate
01M539,2012,2015-16,186.0,100.0,100.0% 4-year graduation rate
01M650,2012,2015-16,112.0,33.93,33.9% 4-year graduation rate
01M696,2012,2015-16,131.0,98.47,98.5% 4-year graduation rate
02M047,2012,2015-16,58.0,86.21,86.2% 4-year graduation rate
02M139,2012,2015-16,1.0,,Data suppressed
02M288,2012,2015-16,94.0,88.3,88.3% 4-year graduation rate
02M294,2012,2015-16,88.0,82.95,83.0% 4-year graduation rate
02M296,2012,2015-16,104.0,75.0,75.0% 4-year graduation rate
02M298,2012,2015-16,109.0,90.83,90.8% 4-year graduation rate
02M300,2012,2015-16,81.0,67.9,67.9% 4-year graduation rate
02M303,2012,2015-16,90.0,70.0,70.0% 4-year graduation rate
02M305,2012,2015-16,71.0,83.1,83.1% 4-year graduation rate
02M308,2012,2015-16,78.0,73.08,73.1% 4-year graduation rate
02M313,2012,2015-16,101.0,30.69,30.7% 4-year graduation rate
02M316,2012,2015-16,90.0,68.89,68.9% 4-year graduation rate
02M374,2012,2015-16,105.0,77.14,77.1% 4-year graduation rate
02M376,2012,2015-16,107.0,97.2,97.2% 4-year graduation rate
02M392,2012,2015-16,96.0,88.54,88.5% 4-year graduation rate
02M393,2012,2015-16,85.0,75.29,75.3% 4-year graduation rate
02M394,2012,2015-16,59.0,69.49,69.5% 4-year graduation rate
02M399,2012,2015-16,96.0,86.46,86.5% 4-year graduation rate
02M400,2012,2015-16,309.0,81.88,81.9% 4-year graduation rate
02M407,2012,2015-16,72.0,93.06,93.1% 4-year graduation rate
02M408,2012,2015-16,113.0,97.35,97.3% 4-year graduation rate
02M411,2012,2015-16,108.0,99.07,99.1% 4-year graduation rate
02M412,2012,2015-16,133.0,97.74,97.7% 4-year graduation rate
02M413,2012,2015-16,98.0,86.73,86.7% 4-year graduation rate
02M414,2012,2015-16,119.0,99.16,99.2% 4-year graduation rate
02M416,2012,2015-16,136.0,100.0,100.0% 4-year graduation rate
02M418,2012,2015-16,171.0,99.42,99.4% 4-year graduation rate
02M419,2012,2015-16,87.0,62.07,62.1% 4-year graduation rate
02M420,2012,2015-16,379.0,89.18,89.2% 4-year graduation rate
02M422,2012,2015-16,78.0,75.64,75.6% 4-year graduation rate
02M425,2012,2015-16,162.0,70.99,71.0% 4-year graduation rate
