DBN,school_year,math_number_tested,math_mean_scale_score,math_pct_proficient,math_pct_proficient_label
01M015,2017-18,67.0,606.6,58.21,58.2% Math proficiency (Levels 3+4)
01M020,2017-18,212.0,593.1,35.38,35.4% Math proficiency (Levels 3+4)
01M034,2017-18,221.0,588.4,15.84,15.8% Math proficiency (Levels 3+4)
01M063,2017-18,64.0,602.2,57.81,57.8% Math proficiency (Levels 3+4)
01M064,2017-18,86.0,592.1,32.56,32.6% Math proficiency (Levels 3+4)
01M110,2017-18,168.0,615.3,77.38,77.4% Math proficiency (Levels 3+4)
01M134,2017-18,145.0,587.7,33.79,33.8% Math proficiency (Levels 3+4)
01M140,2017-18,221.0,588.2,17.65,17.6% Math proficiency (Levels 3+4)
01M142,2017-18,96.0,590.1,31.25,31.2% Math proficiency (Levels 3+4)
01M184,2017-18,427.0,617.7,81.03,81.0% Math proficiency (Levels 3+4)
01M188,2017-18,265.0,595.8,30.19,30.2% Math proficiency (Levels 3+4)
01M315,2017-18,107.0,609.4,67.29,67.3% Math proficiency (Levels 3+4)
01M332,2017-18,168.0,584.5,12.5,12.5% Math proficiency (Levels 3+4)
01M361,2017-18,90.0,602.1,55.56,55.6% Math proficiency (Levels 3+4)
01M363,2017-18,31.0,596.1,48.39,48.4% Math proficiency (Levels 3+4)
01M364,2017-18,38.0,590.4,18.42,18.4% Math proficiency (Levels 3+4)
01M378,2017-18,211.0,595.9,27.49,27.5% Math proficiency (Levels 3+4)
01M450,2017-18,217.0,603.0,50.23,50.2% Math proficiency (Levels 3+4)
01M539,2017-18,595.0,627.6,96.97,97.0% Math proficiency (Levels 3+4)
01M839,2017-18,247.0,601.9,49.39,49.4% Math proficiency (Levels 3+4)
02M001,2017-18,146.0,602.5,54.79,54.8% Math proficiency (Levels 3+4)
02M002,2017-18,260.0,609.4,72.31,72.3% Math proficiency (Levels 3+4)
02M003,2017-18,280.0,613.3,77.86,77.9% Math proficiency (Levels 3+4)
02M006,2017-18,303.0,622.5,91.42,91.4% Math proficiency (Levels 3+4)
02M011,2017-18,454.0,612.3,73.35,73.3% Math proficiency (Levels 3+4)
02M033,2017-18,298.0,610.7,64.77,64.8% Math proficiency (Levels 3+4)
02M040,2017-18,281.0,619.0,88.61,88.6% Math proficiency (Levels 3+4)
02M041,2017-18,314.0,618.1,86.94,86.9% Math proficiency (Levels 3+4)
02M042,2017-18,291.0,616.1,78.01,78.0% Math proficiency (Levels 3+4)
02M051,2017-18,169.0,597.2,41.42,41.4% Math proficiency (Levels 3+4)
02M059,2017-18,250.0,616.8,82.4,82.4% Math proficiency (Levels 3+4)
02M077,2017-18,184.0,630.4,98.91,98.9% Math proficiency (Levels 3+4)
02M089,2017-18,178.0,616.5,85.39,85.4% Math proficiency (Levels 3+4)
02M104,2017-18,936.0,610.3,65.49,65.5% Math proficiency (Levels 3+4)
02M111,2017-18,157.0,597.3,42.04,42.0% Math proficiency (Levels 3+4)
02M114,2017-18,439.0,630.6,95.9,95.9% Math proficiency (Levels 3+4)
02M116,2017-18,236.0,607.0,66.53,66.5% Math proficiency (Levels 3+4)
02M124,2017-18,323.0,617.9,90.09,90.1% Math proficiency (Levels 3+4)
02M126,2017-18,427.0,,,Data suppressed
02M130,2017-18,480.0,620.0,88.33,88.3% Math proficiency (Levels 3+4)
02M131,2017-18,394.0,609.7,60.66,60.7% Math proficiency (Levels 3+4)
02M150,2017-18,74.0,617.8,91.89,91.9% Math proficiency (Levels 3+4)
02M151,2017-18,216.0,609.6,67.13,67.1% Math proficiency (Levels 3+4)
02M158,2017-18,328.0,616.7,85.06,85.1% Math proficiency (Levels 3+4)
02M167,2017-18,1187.0,617.9,80.29,80.3% Math proficiency (Levels 3+4)
02M177,2017-18,195.0,609.8,62.05,62.0% Math proficiency (Levels 3+4)
02M183,2017-18,238.0,618.4,87.39,87.4% Math proficiency (Levels 3+4)
02M198,2017-18,171.0,616.0,78.36,78.4% Math proficiency (Levels 3+4)
02M212,2017-18,156.0,610.9,78.85,78.8% Math proficiency (Levels 3+4)
02M217,2017-18,312.0,608.3,66.99,67.0% Math proficiency (Levels 3+4)
02M225,2017-18,59.0,,,Data suppressed
02M234,2017-18,307.0,615.3,87.3,87.3% Math proficiency (Levels 3+4)
02M255,2017-18,332.0,623.4,88.86,88.9% Math proficiency (Levels 3+4)
02M260,2017-18,189.0,617.9,93.12,93.1% Math proficiency (Levels 3+4)
02M267,2017-18,155.0,618.0,85.16,85.2% Math proficiency (Levels 3+4)
02M276,2017-18,465.0,613.3,78.28,78.3% Math proficiency (Levels 3+4)
02M281,2017-18,58.0,614.0,81.03,81.0% Math proficiency (Levels 3+4)
02M289,2017-18,256.0,613.7,70.31,70.3% Math proficiency (Levels 3+4)
02M290,2017-18,255.0,619.7,87.06,87.1% Math proficiency (Levels 3+4)
02M297,2017-18,187.0,606.7,59.89,59.9% Math proficiency (Levels 3+4)
02M312,2017-18,411.0,626.3,90.75,90.8% Math proficiency (Levels 3+4)
02M340,2017-18,37.0,609.9,81.08,81.1% Math proficiency (Levels 3+4)
02M343,2017-18,152.0,611.5,80.26,80.3% Math proficiency (Levels 3+4)
02M347,2017-18,42.0,604.3,47.62,47.6% Math proficiency (Levels 3+4)
02M397,2017-18,271.0,615.1,84.13,84.1% Math proficiency (Levels 3+4)
02M407,2017-18,19.0,610.5,78.95,79.0% Math proficiency (Levels 3+4)
02M408,2017-18,61.0,612.0,80.33,80.3% Math proficiency (Levels 3+4)
02M413,2017-18,268.0,611.8,66.42,66.4% Math proficiency (Levels 3+4)
02M422,2017-18,172.0,597.0,27.33,27.3% Math proficiency (Levels 3+4)
02M442,2017-18,112.0,618.5,77.68,77.7% Math proficiency (Levels 3+4)
02M527,2017-18,150.0,619.7,88.67,88.7% Math proficiency (Levels 3+4)
02M896,2017-18,338.0,609.3,62.72,62.7% Math proficiency (Levels 3+4)
03M009,2017-18,280.0,616.8,85.71,85.7% Math proficiency (Levels 3+4)
03M054,2017-18,601.0,623.4,86.36,86.4% Math proficiency (Levels 3+4)
03M075,2017-18,243.0,598.9,44.44,44.4% Math proficiency (Levels 3+4)
03M076,2017-18,252.0,583.0,11.51,11.5% Math proficiency (Levels 3+4)
03M084,2017-18,252.0,604.9,61.51,61.5% Math proficiency (Levels 3+4)
03M087,2017-18,394.0,616.7,85.79,85.8% Math proficiency (Levels 3+4)
03M145,2017-18,143.0,588.8,23.08,23.1% Math proficiency (Levels 3+4)
03M149,2017-18,143.0,584.5,7.69,7.7% Math proficiency (Levels 3+4)
03M163,2017-18,268.0,610.2,66.42,66.4% Math proficiency (Levels 3+4)
03M165,2017-18,329.0,595.0,37.08,37.1% Math proficiency (Levels 3+4)
03M166,2017-18,269.0,622.1,86.99,87.0% Math proficiency (Levels 3+4)
03M180,2017-18,276.0,593.8,25.36,25.4% Math proficiency (Levels 3+4)
03M191,2017-18,245.0,587.1,23.67,23.7% Math proficiency (Levels 3+4)
03M199,2017-18,430.0,620.5,90.23,90.2% Math proficiency (Levels 3+4)
03M241,2017-18,69.0,585.6,23.19,23.2% Math proficiency (Levels 3+4)
03M242,2017-18,72.0,590.0,22.22,22.2% Math proficiency (Levels 3+4)
03M243,2017-18,168.0,615.0,82.14,82.1% Math proficiency (Levels 3+4)
03M245,2017-18,291.0,611.0,67.35,67.3% Math proficiency (Levels 3+4)
03M247,2017-18,175.0,601.4,41.14,41.1% Math proficiency (Levels 3+4)
03M256,2017-18,126.0,596.7,33.33,33.3% Math proficiency (Levels 3+4)
03M258,2017-18,169.0,599.3,30.18,30.2% Math proficiency (Levels 3+4)
03M291,2017-18,211.0,614.6,76.78,76.8% Math proficiency (Levels 3+4)
03M333,2017-18,372.0,607.0,65.86,65.9% Math proficiency (Levels 3+4)
03M334,2017-18,273.0,629.4,97.07,97.1% Math proficiency (Levels 3+4)
03M415,2017-18,57.0,590.2,17.54,17.5% Math proficiency (Levels 3+4)
03M421,2017-18,150.0,588.0,11.33,11.3% Math proficiency (Levels 3+4)
03M452,2017-18,116.0,617.5,81.03,81.0% Math proficiency (Levels 3+4)
03M610,2017-18,91.0,600.3,41.76,41.8% Math proficiency (Levels 3+4)
03M859,2017-18,64.0,635.2,100.0,100.0% Math proficiency (Levels 3+4)
03M860,2017-18,26.0,590.6,26.92,26.9% Math proficiency (Levels 3+4)
03M862,2017-18,248.0,607.0,50.4,50.4% Math proficiency (Levels 3+4)
04M007,2017-18,188.0,593.4,27.66,27.7% Math proficiency (Levels 3+4)
04M012,2017-18,345.0,628.5,98.26,98.3% Math proficiency (Levels 3+4)
04M037,2017-18,76.0,597.8,47.37,47.4% Math proficiency (Levels 3+4)
04M038,2017-18,90.0,577.7,5.56,5.6% Math proficiency (Levels 3+4)
04M057,2017-18,498.0,590.4,18.67,18.7% Math proficiency (Levels 3+4)
04M072,2017-18,376.0,591.0,18.88,18.9% Math proficiency (Levels 3+4)
04M083,2017-18,211.0,603.6,54.03,54.0% Math proficiency (Levels 3+4)
04M096,2017-18,256.0,587.7,13.67,13.7% Math proficiency (Levels 3+4)
04M102,2017-18,140.0,594.4,35.71,35.7% Math proficiency (Levels 3+4)
04M108,2017-18,303.0,591.2,21.12,21.1% Math proficiency (Levels 3+4)
04M146,2017-18,123.0,592.9,32.52,32.5% Math proficiency (Levels 3+4)
04M155,2017-18,126.0,582.3,15.87,15.9% Math proficiency (Levels 3+4)
04M171,2017-18,440.0,612.9,70.91,70.9% Math proficiency (Levels 3+4)
04M182,2017-18,151.0,596.4,37.75,37.8% Math proficiency (Levels 3+4)
04M206,2017-18,358.0,589.5,24.58,24.6% Math proficiency (Levels 3+4)
04M224,2017-18,110.0,595.7,35.45,35.5% Math proficiency (Levels 3+4)
04M372,2017-18,156.0,586.2,12.18,12.2% Math proficiency (Levels 3+4)
04M375,2017-18,122.0,588.8,24.59,24.6% Math proficiency (Levels 3+4)
04M377,2017-18,82.0,593.5,29.27,29.3% Math proficiency (Levels 3+4)
04M497,2017-18,17.0,589.3,23.53,23.5% Math proficiency (Levels 3+4)
04M825,2017-18,123.0,591.9,22.76,22.8% Math proficiency (Levels 3+4)
04M964,2017-18,181.0,597.0,40.33,40.3% Math proficiency (Levels 3+4)
05M030,2017-18,97.0,593.3,35.05,35.0% Math proficiency (Levels 3+4)
05M036,2017-18,147.0,592.6,32.65,32.6% Math proficiency (Levels 3+4)
05M046,2017-18,400.0,586.6,16.5,16.5% Math proficiency (Levels 3+4)
05M092,2017-18,121.0,588.1,18.18,18.2% Math proficiency (Levels 3+4)
05M123,2017-18,326.0,587.5,15.34,15.3% Math proficiency (Levels 3+4)
05M125,2017-18,83.0,599.8,39.76,39.8% Math proficiency (Levels 3+4)
05M129,2017-18,253.0,588.0,20.95,20.9% Math proficiency (Levels 3+4)
05M133,2017-18,94.0,582.4,10.64,10.6% Math proficiency (Levels 3+4)
05M148,2017-18,111.0,583.2,8.11,8.1% Math proficiency (Levels 3+4)
05M154,2017-18,129.0,581.1,13.18,13.2% Math proficiency (Levels 3+4)
05M161,2017-18,582.0,592.4,25.26,25.3% Math proficiency (Levels 3+4)
