DBN,school_year,core_school,level,grade_served,school_type,cohort,year_partnership_began,social_work_program,community_school_program,community_school_program_status,arts_program,arts_program_type,ost_program,ost_program_type,food_pantry,laundry,sw_caseload_students,students_individual_contacts,number_individual_contacts,students_group_contacts,number_group_contacts,total_students_served_sw,total_contacts_sw,school_enrollment_pwc
02M124,2020-21,,,,,,,,,,,,,,,,,,,,,,,
02M600,2020-21,,,,,,,,,,,,,,,,,,,,,,,
03M299,2020-21,,,,,,,,,,,,,,,,,,,,,,,
03M492,2020-21,,,,,,,,,,,,,,,,,,,,,,,
04M038,2020-21,,,,,East Harlem,,,,,,,,,,,,,,,,,,
04M102,2020-21,,,,,East Harlem,,,,,,,,,,,,,,,,,,
04M377,2020-21,,,,,East Harlem,,,,,,,,,,,,,,,,,,
05M194,2020-21,,,,,,,,,,,,,,,,,,,,,,,
06M005,2020-21,,,,,,,,,,,,,,,,,,,,,,,
07X296,2020-21,,,,,Morrisania,,,,,,,,,,,,,,,,,,
07X379,2020-21,,,,,,,,,,,,,,,,,,,,,,,
08X208,2020-21,,,,,,,,,,,,,,,,,,,,,,,
09X525,2020-21,,,,,,,,,,,,,,,,,,,,,,,
10X225,2020-21,,,,,,,,,,,,,,,,,,,,,,,
10X438,2020-21,,,,,,,,,,,,,,,,,,,,,,,
11X567,2020-21,,,,,,,,,,,,,,,,,,,,,,,
12X047,2020-21,,,,,,,,,,,,,,,,,,,,,,,
12X286,2020-21,,,,,,,,,,,,,,,,,,,,,,,
12X463,2020-21,,,,,Morrisania,,,,,,,,,,,,,,,,,,
13K046,2020-21,,,,,Fort Greene,,,,,,,,,,,,,,,,,,
13K067,2020-21,,,,,,,,,,,,,,,,,,,,,,,
14K018,2020-21,,,,,,,,,,,,,,,,,,,,,,,
14K110,2020-21,,,,,,,,,,,,,,,,,,,,,,,
14K126,2020-21,,,,,,,,,,,,,,,,,,,,,,,
15K130,2020-21,,,,,,,,,,,,,,,,,,,,,,,
16K308,2020-21,,,,,,,,,,,,,,,,,,,,,,,
17K249,2020-21,,,,,,,,,,,,,,,,,,,,,,,
19K557,2020-21,,,,,Brownsville,,,,,,,,,,,,,,,,,,
20K485,2020-21,,,,,,,,,,,,,,,,,,,,,,,
22K611,2020-21,,,,,,,,,,,,,,,,,,,,,,,
23K041,2020-21,,,,,Brownsville,,,,,,,,,,,,,,,,,,
23K165,2020-21,,,,,Brownsville,,,,,,,,,,,,,,,,,,
23K284,2020-21,,,,,Brownsville,,,,,,,,,,,,,,,,,,
23K298,2020-21,,,,,Brownsville,,,,,,,,,,,,,,,,,,
