DBN,school_year,school_type,safety_climate_rating,safety_climate_rating_label,safety_pct_positive,safety_pct_positive_label
75K004,2020-21,D75,,Rating not available,,Data not available
75K053,2020-21,D75,,Rating not available,,Data not available
75K077,2020-21,D75,,Rating not available,,Data not available
75K140,2020-21,D75,,Rating not available,,Data not available
75K141,2020-21,D75,,Rating not available,,Data not available
75K368,2020-21,D75,,Rating not available,,Data not available
75K369,2020-21,D75,,Rating not available,,Data not available
75K370,2020-21,D75,,Rating not available,,Data not available
75K371,2020-21,D75,,Rating not available,,Data not available
75K372,2020-21,D75,,Rating not available,,Data not available
75K373,2020-21,D75,,Rating not available,,Data not available
75K396,2020-21,D75,,Rating not available,,Data not available
75K721,2020-21,D75,,Rating not available,,Data not available
75K753,2020-21,D75,,Rating not available,,Data not available
75K771,2020-21,D75,,Rating not available,,Data not available
75K811,2020-21,D75,,Rating not available,,Data not available
75M035,2020-21,D75,,Rating not available,,Data not available
75M079,2020-21,D75,,Rating not available,,Data not available
75M094,2020-21,D75,,Rating not available,,Data not available
75M138,2020-21,D75,,Rating not available,,Data not available
75M169,2020-21,D75,,Rating not available,,Data not available
75M226,2020-21,D75,,Rating not available,,Data not available
75M721,2020-21,D75,,Rating not available,,Data not available
75M751,2020-21,D75,,Rating not available,,Data not available
75M811,2020-21,D75,,Rating not available,,Data not available
75Q004,2020-21,D75,,Rating not available,,Data not available
75Q009,2020-21,D75,,Rating not available,,Data not available
75Q023,2020-21,D75,,Rating not available,,Data not available
75Q075,2020-21,D75,,Rating not available,,Data not available
75Q177,2020-21,D75,,Rating not available,,Data not available
75Q224,2020-21,D75,,Rating not available,,Data not available
75Q233,2020-21,D75,,Rating not available,,Data not available
75Q255,2020-21,D75,,Rating not available,,Data not available
75Q256,2020-21,D75,,Rating not available,,Data not available
75Q277,2020-21,D75,,Rating not available,,Data not available
75Q721,2020-21,D75,,Rating not available,,Data not available
75Q752,2020-21,D75,,Rating not available,,Data not available
75Q811,2020-21,D75,,Rating not available,,Data not available
75Q993,2020-21,D75,,Rating not available,,Data not available
75R025,2020-21,D75,,Rating not available,,Data not available
75R037,2020-21,D75,,Rating not available,,Data not available
75R373,2020-21,D75,,Rating not available,,Data not available
75R721,2020-21,D75,,Rating not available,,Data not available
75X010,2020-21,D75,,Rating not available,,Data not available
75X012,2020-21,D75,,Rating not available,,Data not available
75X017,2020-21,D75,,Rating not available,,Data not available
75X168,2020-21,D75,,Rating not available,,Data not available
75X176,2020-21,D75,,Rating not available,,Data not available
75X186,2020-21,D75,,Rating not available,,Data not available
75X188,2020-21,D75,,Rating not available,,Data not available
75X352,2020-21,D75,,Rating not available,,Data not available
75X469,2020-21,D75,,Rating not available,,Data not available
75X596,2020-21,D75,,Rating not available,,Data not available
75X721,2020-21,D75,,Rating not available,,Data not available
75X723,2020-21,D75,,Rating not available,,Data not available
75X754,2020-21,D75,,Rating not available,,Data not available
75X811,2020-21,D75,,Rating not available,,Data not available
84M337,2020-21,D75,,Rating not available,,Data not available
84X587,2020-21,D75,,Rating not available,,Data not available
04M112,2020-21,EC,,Rating not available,,Data not available
08X583,2020-21,EC,,Rating not available,,Data not available
09X088,2020-21,EC,,Rating not available,,Data not available
09X170,2020-21,EC,,Rating not available,,Data not available
10X209,2020-21,EC,,Rating not available,,Data not available
14K319,2020-21,EC,,Rating not available,,Data not available
15K896,2020-21,EC,,Rating not available,,Data not available
19K938,2020-21,EC,,Rating not available,,Data not available
20K939,2020-21,EC,,Rating not available,,Data not available
