DBN,school_year,student_q20_mental_health,student_q20_mental_health_label,student_q22_felt_happy,student_q22_felt_happy_label
01M034,2020-21,,Data not available,77.0,77.0% of students felt happy at school
01M140,2020-21,,Data not available,85.0,85.0% of students felt happy at school
01M184,2020-21,,Data not available,85.0,85.0% of students felt happy at school
01M188,2020-21,,Data not available,100.0,100.0% of students felt happy at school
01M292,2020-21,,Data not available,76.0,76.0% of students felt happy at school
01M332,2020-21,,Data not available,79.0,79.0% of students felt happy at school
01M378,2020-21,,Data not available,78.0,78.0% of students felt happy at school
01M448,2020-21,,Data not available,78.0,78.0% of students felt happy at school
01M450,2020-21,,Data not available,78.0,78.0% of students felt happy at school
01M515,2020-21,,Data not available,95.0,95.0% of students felt happy at school
01M539,2020-21,,Data not available,71.0,71.0% of students felt happy at school
01M650,2020-21,,Data not available,,Data not available
01M696,2020-21,,Data not available,66.0,66.0% of students felt happy at school
01M839,2020-21,,Data not available,84.0,84.0% of students felt happy at school
02M047,2020-21,,Data not available,65.0,65.0% of students felt happy at school
02M104,2020-21,,Data not available,80.0,80.0% of students felt happy at school
02M114,2020-21,,Data not available,81.0,81.0% of students felt happy at school
02M126,2020-21,,Data not available,84.0,84.0% of students felt happy at school
02M131,2020-21,,Data not available,79.0,79.0% of students felt happy at school
02M135,2020-21,,Data not available,71.0,71.0% of students felt happy at school
02M139,2020-21,,Data not available,86.0,86.0% of students felt happy at school
02M167,2020-21,,Data not available,82.0,82.0% of students felt happy at school
02M177,2020-21,,Data not available,81.0,81.0% of students felt happy at school
02M217,2020-21,,Data not available,83.0,83.0% of students felt happy at school
02M225,2020-21,,Data not available,80.0,80.0% of students felt happy at school
02M255,2020-21,,Data not available,89.0,89.0% of students felt happy at school
02M260,2020-21,,Data not available,82.0,82.0% of students felt happy at school
02M276,2020-21,,Data not available,80.0,80.0% of students felt happy at school
02M280,2020-21,,Data not available,100.0,100.0% of students felt happy at school
02M282,2020-21,,Data not available,77.0,77.0% of students felt happy at school
02M288,2020-21,,Data not available,67.0,67.0% of students felt happy at school
02M289,2020-21,,Data not available,81.0,81.0% of students felt happy at school
02M294,2020-21,,Data not available,82.0,82.0% of students felt happy at school
02M296,2020-21,,Data not available,,Data not available
02M297,2020-21,,Data not available,67.0,67.0% of students felt happy at school
02M298,2020-21,,Data not available,64.0,64.0% of students felt happy at school
02M300,2020-21,,Data not available,77.0,77.0% of students felt happy at school
02M303,2020-21,,Data not available,85.0,85.0% of students felt happy at school
02M305,2020-21,,Data not available,60.0,60.0% of students felt happy at school
02M308,2020-21,,Data not available,59.0,59.0% of students felt happy at school
02M312,2020-21,,Data not available,84.0,84.0% of students felt happy at school
02M313,2020-21,,Data not available,82.0,82.0% of students felt happy at school
02M316,2020-21,,Data not available,71.0,71.0% of students felt happy at school
02M347,2020-21,,Data not available,81.0,81.0% of students felt happy at school
02M374,2020-21,,Data not available,65.0,65.0% of students felt happy at school
02M376,2020-21,,Data not available,66.0,66.0% of students felt happy at school
02M392,2020-21,,Data not available,79.0,79.0% of students felt happy at school
02M393,2020-21,,Data not available,71.0,71.0% of students felt happy at school
