DBN,school_year,suspension_total,suspension_rate,suspension_rate_label
01M015,2020-21,,,Data suppressed
01M019,2020-21,0.0,,Data suppressed
01M020,2020-21,0.0,0.0,0.0% of students suspended
01M034,2020-21,0.0,0.0,0.0% of students suspended
01M063,2020-21,0.0,0.0,0.0% of students suspended
01M064,2020-21,0.0,0.0,0.0% of students suspended
01M110,2020-21,0.0,0.0,0.0% of students suspended
01M134,2020-21,0.0,0.0,0.0% of students suspended
01M140,2020-21,,,Data suppressed
01M142,2020-21,0.0,0.0,0.0% of students suspended
01M184,2020-21,0.0,0.0,0.0% of students suspended
01M188,2020-21,10.0,2.7,2.7% of students suspended
01M292,2020-21,0.0,0.0,0.0% of students suspended
01M315,2020-21,,,Data suppressed
01M332,2020-21,0.0,0.0,0.0% of students suspended
01M361,2020-21,0.0,0.0,0.0% of students suspended
01M363,2020-21,0.0,0.0,0.0% of students suspended
01M364,2020-21,0.0,0.0,0.0% of students suspended
01M378,2020-21,0.0,0.0,0.0% of students suspended
01M448,2020-21,0.0,0.0,0.0% of students suspended
01M450,2020-21,0.0,0.0,0.0% of students suspended
01M458,2020-21,0.0,0.0,0.0% of students suspended
01M515,2020-21,0.0,0.0,0.0% of students suspended
01M539,2020-21,,,Data suppressed
01M650,2020-21,0.0,0.0,0.0% of students suspended
01M696,2020-21,0.0,0.0,0.0% of students suspended
01M839,2020-21,0.0,0.0,0.0% of students suspended
02M001,2020-21,0.0,0.0,0.0% of students suspended
02M002,2020-21,,,Data suppressed
02M003,2020-21,0.0,0.0,0.0% of students suspended
02M006,2020-21,0.0,0.0,0.0% of students suspended
02M011,2020-21,,,Data suppressed
02M033,2020-21,0.0,0.0,0.0% of students suspended
02M040,2020-21,,,Data suppressed
02M041,2020-21,0.0,0.0,0.0% of students suspended
02M042,2020-21,0.0,0.0,0.0% of students suspended
02M047,2020-21,0.0,0.0,0.0% of students suspended
02M051,2020-21,0.0,0.0,0.0% of students suspended
02M059,2020-21,,,Data suppressed
02M077,2020-21,,,Data suppressed
02M089,2020-21,0.0,0.0,0.0% of students suspended
02M104,2020-21,0.0,0.0,0.0% of students suspended
02M111,2020-21,,,Data suppressed
02M114,2020-21,0.0,0.0,0.0% of students suspended
02M116,2020-21,0.0,0.0,0.0% of students suspended
02M124,2020-21,0.0,0.0,0.0% of students suspended
02M126,2020-21,0.0,0.0,0.0% of students suspended
02M130,2020-21,0.0,0.0,0.0% of students suspended
02M131,2020-21,0.0,0.0,0.0% of students suspended
02M135,2020-21,,,Data suppressed
02M139,2020-21,0.0,0.0,0.0% of students suspended
02M150,2020-21,0.0,0.0,0.0% of students suspended
02M151,2020-21,11.0,2.59,2.6% of students suspended
02M158,2020-21,0.0,0.0,0.0% of students suspended
02M167,2020-21,17.0,1.33,1.3% of students suspended
02M177,2020-21,,,Data suppressed
02M183,2020-21,,,Data suppressed
02M198,2020-21,0.0,0.0,0.0% of students suspended
02M212,2020-21,0.0,0.0,0.0% of students suspended
02M217,2020-21,0.0,0.0,0.0% of students suspended
02M225,2020-21,0.0,0.0,0.0% of students suspended
02M234,2020-21,0.0,0.0,0.0% of students suspended
02M255,2020-21,,,Data suppressed
02M260,2020-21,0.0,0.0,0.0% of students suspended
02M267,2020-21,0.0,0.0,0.0% of students suspended
02M276,2020-21,0.0,0.0,0.0% of students suspended
02M280,2020-21,0.0,0.0,0.0% of students suspended
02M281,2020-21,0.0,0.0,0.0% of students suspended
02M282,2020-21,0.0,0.0,0.0% of students suspended
02M288,2020-21,0.0,0.0,0.0% of students suspended
02M289,2020-21,0.0,0.0,0.0% of students suspended
02M290,2020-21,0.0,0.0,0.0% of students suspended
02M294,2020-21,0.0,0.0,0.0% of students suspended
02M296,2020-21,0.0,0.0,0.0% of students suspended
02M297,2020-21,,,Data suppressed
02M298,2020-21,0.0,0.0,0.0% of students suspended
02M300,2020-21,,,Data suppressed
02M303,2020-21,0.0,0.0,0.0% of students suspended
02M305,2020-21,0.0,0.0,0.0% of students suspended
02M308,2020-21,0.0,0.0,0.0% of students suspended
02M312,2020-21,,,Data suppressed
02M313,2020-21,0.0,0.0,0.0% of students suspended
02M316,2020-21,0.0,0.0,0.0% of students suspended
02M340,2020-21,0.0,0.0,0.0% of students suspended
02M343,2020-21,0.0,0.0,0.0% of students suspended
02M347,2020-21,,,Data suppressed
02M374,2020-21,0.0,0.0,0.0% of students suspended
02M376,2020-21,,,Data suppressed
02M392,2020-21,,,Data suppressed
02M393,2020-21,0.0,0.0,0.0% of students suspended
02M394,2020-21,0.0,0.0,0.0% of students suspended
02M397,2020-21,0.0,0.0,0.0% of students suspended
02M399,2020-21,0.0,0.0,0.0% of students suspended
02M400,2020-21,,,Data suppressed
02M407,2020-21,0.0,0.0,0.0% of students suspended
02M408,2020-21,,,Data suppressed
02M411,2020-21,,,Data suppressed
02M412,2020-21,0.0,0.0,0.0% of students suspended
02M413,2020-21,,,Data suppressed
02M414,2020-21,0.0,0.0,0.0% of students suspended
02M416,2020-21,,,Data suppressed
02M418,2020-21,9.0,1.29,1.3% of students suspended
02M419,2020-21,0.0,0.0,0.0% of students suspended
02M420,2020-21,0.0,0.0,0.0% of students suspended
02M422,2020-21,0.0,0.0,0.0% of students suspended
02M425,2020-21,0.0,0.0,0.0% of students suspended
02M427,2020-21,0.0,0.0,0.0% of students suspended
02M432,2020-21,,,Data suppressed
02M437,2020-21,0.0,0.0,0.0% of students suspended
02M438,2020-21,0.0,0.0,0.0% of students suspended
02M439,2020-21,0.0,0.0,0.0% of students suspended
02M442,2020-21,0.0,0.0,0.0% of students suspended
02M449,2020-21,0.0,0.0,0.0% of students suspended
02M459,2020-21,0.0,0.0,0.0% of students suspended
02M475,2020-21,,,Data suppressed
02M489,2020-21,0.0,0.0,0.0% of students suspended
02M500,2020-21,0.0,0.0,0.0% of students suspended
02M507,2020-21,6.0,1.32,1.3% of students suspended
02M519,2020-21,,,Data suppressed
02M520,2020-21,0.0,0.0,0.0% of students suspended
02M527,2020-21,0.0,0.0,0.0% of students suspended
02M529,2020-21,0.0,0.0,0.0% of students suspended
02M531,2020-21,,,Data suppressed
02M533,2020-21,0.0,0.0,0.0% of students suspended
02M534,2020-21,0.0,0.0,0.0% of students suspended
02M542,2020-21,0.0,0.0,0.0% of students suspended
02M543,2020-21,0.0,0.0,0.0% of students suspended
02M544,2020-21,0.0,0.0,0.0% of students suspended
02M545,2020-21,0.0,0.0,0.0% of students suspended
02M546,2020-21,,,Data suppressed
02M550,2020-21,0.0,0.0,0.0% of students suspended
02M551,2020-21,0.0,0.0,0.0% of students suspended
02M560,2020-21,0.0,0.0,0.0% of students suspended
02M565,2020-21,0.0,0.0,0.0% of students suspended
02M570,2020-21,0.0,0.0,0.0% of students suspended
02M575,2020-21,0.0,0.0,0.0% of students suspended
02M580,2020-21,0.0,0.0,0.0% of students suspended
02M586,2020-21,0.0,0.0,0.0% of students suspended
02M600,2020-21,0.0,0.0,0.0% of students suspended
02M605,2020-21,0.0,0.0,0.0% of students suspended
