DBN,school_year,temp_housing_count,temp_housing_rate,temp_housing_rate_label
01M015,2020-21,59.0,30.7,30.7% of students in temporary housing
01M019,2020-21,24.0,11.3,11.3% of students in temporary housing
01M020,2020-21,57.0,13.7,13.7% of students in temporary housing
01M034,2020-21,61.0,21.5,21.5% of students in temporary housing
01M063,2020-21,38.0,17.7,17.7% of students in temporary housing
01M064,2020-21,43.0,18.8,18.8% of students in temporary housing
01M110,2020-21,50.0,13.3,13.3% of students in temporary housing
01M134,2020-21,41.0,19.5,19.5% of students in temporary housing
01M140,2020-21,84.0,23.2,23.2% of students in temporary housing
01M142,2020-21,78.0,23.1,23.1% of students in temporary housing
01M184,2020-21,81.0,11.2,11.2% of students in temporary housing
01M188,2020-21,160.0,40.2,40.2% of students in temporary housing
01M292,2020-21,35.0,11.8,11.8% of students in temporary housing
01M315,2020-21,11.0,3.6,3.6% of students in temporary housing
01M332,2020-21,41.0,19.7,19.7% of students in temporary housing
01M361,2020-21,23.0,7.5,7.5% of students in temporary housing
01M363,2020-21,7.0,2.3,2.3% of students in temporary housing
01M364,2020-21,43.0,14.7,14.7% of students in temporary housing
01M378,2020-21,24.0,12.6,12.6% of students in temporary housing
01M444,2020-21,16.0,17.0,17.0% of students in temporary housing
01M448,2020-21,47.0,8.3,8.3% of students in temporary housing
01M450,2020-21,75.0,10.9,10.9% of students in temporary housing
01M458,2020-21,17.0,10.1,10.1% of students in temporary housing
01M515,2020-21,75.0,14.5,14.5% of students in temporary housing
01M539,2020-21,11.0,0.6,0.6% of students in temporary housing
01M650,2020-21,14.0,8.0,8.0% of students in temporary housing
01M696,2020-21,15.0,2.3,2.3% of students in temporary housing
01M700,2020-21,20.0,4.3,4.3% of students in temporary housing
01M839,2020-21,28.0,7.9,7.9% of students in temporary housing
02M001,2020-21,22.0,9.1,9.1% of students in temporary housing
02M002,2020-21,65.0,15.3,15.3% of students in temporary housing
02M003,2020-21,,,Data suppressed
02M006,2020-21,,,Data suppressed
02M011,2020-21,43.0,5.3,5.3% of students in temporary housing
02M033,2020-21,55.0,9.8,9.8% of students in temporary housing
02M040,2020-21,6.0,0.8,0.8% of students in temporary housing
02M041,2020-21,,,Data suppressed
02M042,2020-21,18.0,3.3,3.3% of students in temporary housing
02M047,2020-21,29.0,13.1,13.1% of students in temporary housing
02M051,2020-21,84.0,17.6,17.6% of students in temporary housing
02M059,2020-21,,,Data suppressed
02M077,2020-21,,,Data suppressed
02M089,2020-21,,,Data suppressed
02M104,2020-21,44.0,4.3,4.3% of students in temporary housing
02M111,2020-21,64.0,16.0,16.0% of students in temporary housing
02M114,2020-21,,,Data suppressed
02M116,2020-21,47.0,11.1,11.1% of students in temporary housing
02M124,2020-21,7.0,1.1,1.1% of students in temporary housing
02M126,2020-21,138.0,20.0,20.0% of students in temporary housing
02M130,2020-21,6.0,0.8,0.8% of students in temporary housing
02M131,2020-21,41.0,16.0,16.0% of students in temporary housing
02M135,2020-21,33.0,12.2,12.2% of students in temporary housing
02M139,2020-21,36.0,8.8,8.8% of students in temporary housing
02M150,2020-21,,,Data suppressed
02M151,2020-21,19.0,4.4,4.4% of students in temporary housing
02M158,2020-21,10.0,1.4,1.4% of students in temporary housing
02M167,2020-21,46.0,3.5,3.5% of students in temporary housing
02M177,2020-21,8.0,3.3,3.3% of students in temporary housing
02M183,2020-21,,,Data suppressed
02M198,2020-21,,,Data suppressed
02M212,2020-21,13.0,4.0,4.0% of students in temporary housing
02M217,2020-21,8.0,1.2,1.2% of students in temporary housing
02M225,2020-21,16.0,4.6,4.6% of students in temporary housing
02M234,2020-21,,,Data suppressed
02M255,2020-21,,,Data suppressed
02M260,2020-21,10.0,1.3,1.3% of students in temporary housing
02M267,2020-21,,,Data suppressed
02M276,2020-21,11.0,1.3,1.3% of students in temporary housing
02M280,2020-21,36.0,7.6,7.6% of students in temporary housing
02M281,2020-21,12.0,2.5,2.5% of students in temporary housing
02M282,2020-21,45.0,9.2,9.2% of students in temporary housing
02M288,2020-21,41.0,10.0,10.0% of students in temporary housing
02M289,2020-21,6.0,2.2,2.2% of students in temporary housing
02M290,2020-21,,,Data suppressed
02M294,2020-21,12.0,3.2,3.2% of students in temporary housing
02M296,2020-21,31.0,9.7,9.7% of students in temporary housing
02M297,2020-21,72.0,8.7,8.7% of students in temporary housing
02M298,2020-21,34.0,5.8,5.8% of students in temporary housing
02M300,2020-21,31.0,12.1,12.1% of students in temporary housing
02M303,2020-21,46.0,13.9,13.9% of students in temporary housing
02M305,2020-21,27.0,8.0,8.0% of students in temporary housing
